year,julian-day,standard-time,leaftemp
2023,252,1,30.461666666666662
2023,252,2,28.84111111111111
2023,252,3,26.27111111111111
2023,252,4,24.68277777777778
2023,252,5,23.56722222222222
2023,252,6,23.743333333333332
2023,252,7,26.46777777777778
2023,252,8,31.292777777777776
2023,252,9,34.409444444444446
2023,252,10,37.24944444444444
2023,252,11,39.513888888888886
2023,252,12,41.675555555555555
2023,252,13,42.912777777777784
2023,252,14,43.91888888888889
2023,252,15,44.14722222222222
2023,252,16,43.86333333333333
2023,252,17,43.165
2023,252,18,39.693333333333335
2023,252,19,36.20388888888888
2023,252,20,35.42388888888889
2023,252,21,33.42277777777778
2023,252,22,31.958333333333332
2023,252,23,29.380000000000003
2023,253,0,28.623333333333335
2023,253,1,26.93
2023,253,2,25.862222222222222
2023,253,3,26.339444444444446
2023,253,4,25.495
2023,253,5,24.968333333333334
2023,253,6,24.563333333333333
2023,253,7,27.21055555555556
2023,253,8,29.604444444444443
2023,253,9,33.805
2023,253,10,37.575
2023,253,11,39.791111111111114
